TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,SpeedDrop,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2
Fastball,89.81975,-1.069663,-1.969655,2039.854549,205.072311,12:45,6.12967,0.65657,6.4654,-12.81324,21.628,9.52469,4.07872,-0.35954,80.66879,-3.614749,-0.242995,0.422387,-5.5765,11.97186,-0.52117,50,6.04788,4.08855,-130.29482,-2.6842,-9.41898,31.83544,-11.95296,89.23667,9.15095,54.03059,-131.27594,15.91772,6.12493,-2.31583,-5.97648,-0.65164,4.37883,-4.70949
Fastball,89.47099,-0.985184,-1.953086,2062.28176,198.009369,12:30,6.12195,0.6015,6.31783,-12.60698,22.35111,6.84268,4.16332,-0.6279,80.23474,-3.492309,-0.716248,0.425545,-4.16028,12.25064,-0.46145,50,6.04332,4.1349,-129.72508,-2.47572,-6.95824,31.8207,-11.68439,88.57457,9.23625,54.17711,-130.74568,15.91035,6.11671,-2.10096,-5.8422,-0.59765,4.35808,-3.47912
Fastball,89.31524,-2.125505,-1.355443,2033.554492,202.10346,12:45,6.16418,0.56296,6.42405,-14.88135,19.98068,7.59461,2.96882,-0.05034,80.43987,-5.034097,0.021119,0.42496,-4.41709,11.50816,-0.46959,50,6.00567,2.76463,-129.57332,-5.15816,-7.38089,31.39616,-12.94401,88.69651,8.87537,54.07413,-130.55677,15.69808,6.1609,-4.7527,-6.472,-0.55981,2.99583,-3.69045
Fastball,89.907,-1.579234,-0.917858,2028.139993,210.663988,1:00,6.10667,0.78127,6.44383,-13.21792,21.14194,11.78914,3.55351,0.92023,80.89091,-4.189991,1.219989,0.421888,-6.40079,11.88016,-0.72074,50,5.98817,1.60443,-130.46776,-3.86956,-10.84719,31.75319,-12.04113,89.34232,9.01608,54.05261,-131.45038,15.8766,6.10215,-3.49694,-6.02056,-0.77558,1.9401,-5.4236
Fastball,90.46746,-2.059805,-1.25385,2081.374375,206.543724,1:00,6.10898,0.90867,6.24045,-13.5167,20.75596,9.73024,3.08131,0.56276,81.29903,-4.714296,0.503715,0.421352,-5.46803,11.8189,-0.81993,50,5.94876,2.46895,-131.19391,-5.03417,-9.35223,32.58793,-11.95964,89.45592,9.16843,54.25752,-132.24723,16.29396,6.10523,-4.64761,-5.97982,-0.90462,2.77123,-4.67612
Slider,77.60249,2.064701,-0.259138,2037.208269,104.042659,9:30,6.01655,1.12223,5.69764,-42.2638,5.01264,-13.53505,4.41951,-0.24718,70.26694,-5.763706,-2.678709,0.494873,6.72233,2.4324,-1.09223,50,6.16413,1.03775,-112.5114,2.72144,8.51537,22.65851,-29.09284,76.16589,7.33555,54.79971,-113.47389,11.32926,6.02229,3.95724,-14.54642,-1.12863,0.67604,4.25768
Fastball,90.20556,-2.55964,-1.145136,2063.410916,206.143963,12:45,6.15854,0.44086,5.92527,-13.44249,21.39556,9.87166,2.66113,0.20076,81.25272,-5.181117,0.627494,0.424813,-5.43646,12.16977,-0.3549,50,5.94622,2.18974,-130.72772,-6.18076,-9.25751,31.66844,-11.4507,88.72704,8.95284,54.57283,-131.83083,15.83422,6.15457,-5.78191,-5.72535,-0.43679,2.51221,-4.62876
Slider,77.1014,0.816571,0.551168,2221.534306,88.188681,9:00,5.9087,1.07028,5.57178,-47.24522,1.11165,-20.36147,2.73444,-0.11165,69.72086,-7.877311,-3.086222,0.500496,10.49367,0.7848,-1.10399,50,5.94828,-0.29497,-111.81009,0.07126,13.02803,23.78222,-31.19971,75.31021,7.38054,54.92831,-112.85348,11.89111,5.91513,1.44008,-15.59986,-1.07851,-0.86655,6.51402
Fastball,91.64206,-2.718723,-1.238653,2290.008384,209.715191,1:00,6.17573,0.22995,5.93002,-11.58068,22.15359,11.93729,2.68565,0.07528,82.56642,-4.999959,0.904866,0.41803,-6.54473,12.61261,-0.13786,50,5.952,2.35612,-132.81537,-6.57942,-11.50832,32.57935,-9.99598,90.16691,9.07563,54.56896,-133.93143,16.28968,6.17153,-6.23699,-4.99799,-0.22533,2.75036,-5.75416
Fastball,92.54039,-3.842451,-2.331051,2305.712243,200.457987,12:45,6.16646,0.55875,6.32731,-9.83323,23.2532,8.16977,1.80024,-0.9083,82.4044,-5.841395,-0.854637,0.413996,-5.05264,13.8041,-0.39208,50,5.88043,5.09294,-133.78163,-9.14082,-8.90457,36.27148,-7.84619,91.04536,10.136,54.16793,-134.90693,18.13574,6.16024,-8.8974,-3.92309,-0.55437,5.3692,-4.45228
